PRIMARY_NAME,LATITUDE83,LONGITUDE83,mineral
FORMER NEWARK PROCESSING PLANT,40.06254,-82.35163,Aluminum
CERRILLOS HILLS MINING DISTRICT,35.467,-106.1102,Copper
CERRILLOS HILLS MINING DISTRICT,35.467,-106.1102,Zinc
PROPOSED ROBERT OVROM PARK & COMMUNITY DAY SCHOOL,34.17664,-118.30451,Arsenic
NORTH DORSET GAS STATION,43.286086,-73.000629,Antimony
NORTH DORSET GAS STATION,43.286086,-73.000629,Arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 401 CHARLOTTE,39.11044,-94.57476,Arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 401 CHARLOTTE,39.11044,-94.57476,Chromium
COLUMBUS PARK - MOLLE PROPERTIES: 311 CHARLOTTE,39.11113,-94.57499,Arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 311 CHARLOTTE,39.11113,-94.57499,Chromium
COLUMBUS PARK - MOLLE PROPERTIES: 400 CHARLOTTE,39.11043,-94.57476,Arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 400 CHARLOTTE,39.11043,-94.57476,Chromium
COLUMBUS PARK - MOLLE PROPERTIES: 701 EAST 3RD STREET,39.11128,-94.5763,Arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 701 EAST 3RD STREET,39.11128,-94.5763,Chromium
COLUMBUS PARK - 810 E. 4TH STREET,39.11107,-94.57403,Arsenic
FORMER HEALY DODGE PROPERTIES,44.00746,-86.459,Arsenic
HINCKLEY RIDGE,41.424781,-81.684977,Arsenic
INCHELIUM TRIBAL WOOD TREATMENT,48.293902,-118.205891,Arsenic
INCHELIUM TRIBAL WOOD TREATMENT,48.293902,-118.205891,Chromium
INCHELIUM TRIBAL WOOD TREATMENT,48.293902,-118.205891,Copper
COMMERCE SQUARE,43.16985,-78.68755,Copper
"FALCO-CLARENCE, FAIRFIELD ALUMINUM CASTING COMPANY",39.748732,-92.258567,Aluminum
"FALCO-CLARENCE, FAIRFIELD ALUMINUM CASTING COMPANY",39.748732,-92.258567,Magnesium
OLD BLACK DIAMOND INDUSTRIAL PROPERTY,38.400788,-82.497865,Arsenic
MIGC EAST 134TH STREET,41.54834,-81.59111,Nickel
EELWEIR SITE,44.748119,-69.403172,Arsenic
EELWEIR SITE,44.748119,-69.403172,Chromium
TRINITY BUILDING (MONARCH ALUMINUM),41.480279,-81.746746,Aluminum
FLORY'S PLAZA,43.601791,-73.017601,Antimony
FERRY CAP AND SET SCREW,41.48033,-81.74612,Aluminum
CLOUDY DAY,37.987877,-107.686936,Arsenic
CLOUDY DAY,37.987877,-107.686936,Manganese
CLOUDY DAY,37.987877,-107.686936,Nickel
CLOUDY DAY,37.987877,-107.686936,Zinc
MANGANESE,37.991708,-107.683565,Manganese
PINE,37.988174,-107.68792,Arsenic
PINE,37.988174,-107.68792,Manganese
PINE,37.988174,-107.68792,Nickel
PINE,37.988174,-107.68792,Zinc
HOLLISTER: WAHCONAH STREET PROPERTY,42.46924,-73.24962,Arsenic
PORT OF NEWPORT INTERNATIONAL TERMINAL,44.63224,-124.04506,Arsenic
PORT OF NEWPORT INTERNATIONAL TERMINAL,44.63224,-124.04506,Chromium
FORMER RINGLE ELECTROPLATING FACILITY,40.393056,-84.176389,Nickel
FORMER PENINSULA BEVERAGE SITE PARCEL 017- 06,45.84129,-88.04526,Aluminum
FORMER CROMWELL-COLLIER PUBLISHING AND PARKING LOT,39.92366,-83.81608,Chromium
701 EAST VIENNA STREET,43.08583,-87.90184,Aluminum
FORMER CLEVELAND PUBLIC POWER (CPP) SITE,41.52655,-81.65816,Arsenic
FORMER CLEVELAND PUBLIC POWER (CPP) SITE,41.52655,-81.65816,Zinc
JVIC SPRINGFIELD MORTUARY,37.21251,-93.29226,Arsenic
703 COURT STREET,27.96195,-82.79652,Arsenic
MSGA ENTERPRISES,41.25285,-95.85488,Arsenic
1025 S. 7TH STREET,41.25167,-95.85486,Arsenic
1912 EDGEWOOD AVE,42.744922,-87.798205,Aluminum
FEDEROW PROPERTY,37.21096,-93.26124,Arsenic
3033 W. WALNUT ST.,43.0528,-87.95214,Arsenic
FORMER VARIETY FOODS SITE,41.45,-81.62,Aluminum
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Aluminum
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Antimony
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Arsenic
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Beryllium
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Chromium
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Lithium
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,Magnesium
QUALITY WOOD TREATING CO INC,39.99098,-82.84711,Copper
PROPOSED ASPIRE CHARTER SCHOOL,37.75903,-122.19799,Arsenic
MEMORIAL DRIVE GREENWAY PROJECT 1,33.74703,-84.37518,Aluminum
KRUG GLAZING PROPERTY,43.02764,-78.87467,Aluminum
FORMER TRUCK SERVICE GARAGE PROPERTY,39.8026,-86.14143,Arsenic
COASTAL METALS - LOT 7,42.8335,-71.00416,Zinc
1409 DORR STREET,41.65298,-83.577994,Tin
QUINCY ROUNDHOUSE,47.137963,-88.574688,Copper
FAIRFIELD DR AND TEXAR DR,30.44506,-87.23263,Arsenic
OLD DUMP AT JOE WARD SLOUGH,66.565768,-145.244916,Arsenic
OLD DUMP AT JOE WARD SLOUGH,66.565768,-145.244916,Chromium
OTHORP LAKE ROAD DUMP,48.879043,-115.052045,Arsenic
4203-4225 WEST CAPITOL AVENUE,38.57791,-121.56818,Nickel
WEYERHAEUSER PROPERTY,38.57982,-121.51099,Aluminum
AUGUSTA HUD PARKING LOT BTA,37.678174,-96.97651,Arsenic
PORT MANCHAC,30.317042,-90.404658,Manganese
"FINDLAY CARTAGE CO., INC.",41.05141,-83.66032,Arsenic
280-286 LYELL AVENUE AND 55 DEWEY AVENUE,43.16464,-77.63243,Tin
"HENRYETTA GREENSPACE								",35.482529,-95.924427,Zinc
BERRY LANE PROPERTY 2,40.71099,-74.0698,Chromium
