name,facility_a,Latitude,longitude,Manufacturing_Products,associated_product_type
"CONTROL TRANSFORMER, INC.","3701 WARREN MEADVILLE ROAD, CORTLAND, OH, 44410",2.222,-80.76,MAGNETIC,MAGNETS
"CONTROL TRANSFORMER, INC.","3701 WARREN MEADVILLE ROAD, CORTLAND, OH, 44410",2.222,-80.76,WATER COOLED TRANSFORMERS,TRANSFORMERS
"FOREST ELECTRIC CO., THE","1301 ARMITAGE AVENUE, MELROSE PARK, IL, 60160",2.181,-85.791,OTHER MAGNETIC COMPONENTS,MAGNETS
PHILIPS LIGHTING ELECTRONICS (H Q),"10275 WEST HIGGINS ROAD, ROSEMONT, IL, 60018",2.261,-85.823,ELECTROMAGNETIC,MAGNETS
PHILIPS LIGHTING ELECTRONICS (H Q),"10275 WEST HIGGINS ROAD, ROSEMONT, IL, 60018",2.261,-85.823,ELECTRONIC BALLASTS (MFG. DONE OVERSEAS),ELECTRONICS
"MAGNETIC COMPONENTS, INC.","9520 AINSLIE STREET, SCHILLER PARK, IL, 60176",2.233,-85.808,TRANSFORMERS,TRANSFORMERS
"MAGNETIC COMPONENTS, INC.","9520 AINSLIE STREET, SCHILLER PARK, IL, 60176",2.233,-85.808,SWITCHER MAGNETICS,MAGNETS
"SOUTH HAVEN COIL, INC.","5585 BLUE STAR MEMORIAL HIGHWAY, SOUTH HAVEN, MI, 49090",2.772,-84.734,ELECTRONIC COILS,ELECTRONICS
JACKSON TRANSFORMER CO.,"4709 WEST CAYUGA STREET, TAMPA, FL, 33614",-11.115,-79.924,MAGNETIC PRODUCTS,MAGNETS
AMERICAN MAGNETICS CORP.,"512 SOUTH JACKSON STREET, CARTERVILLE, IL, 62918",-2.054,-86.33,TRANSFORMERS,TRANSFORMERS
AMERICAN MAGNETICS CORP.,"512 SOUTH JACKSON STREET, CARTERVILLE, IL, 62918",-2.054,-86.33,MAGNETIC DEVICES,MAGNETS
"SNC MFG. CO., INC.","101 WEST WAUKAU AVENUE, OSHKOSH, WI, 54902",4.209,-86.44,ELECTRICAL TRANSFORMERS,TRANSFORMERS
"SNC MFG. CO., INC.","101 WEST WAUKAU AVENUE, OSHKOSH, WI, 54902",4.209,-86.44,HIGH-FREQUENCY MAGNETICS,MAGNETS
"FOREST ELECTRIC CO., THE","1301 ARMITAGE AVENUE, MELROSE PARK, IL, 60160",2.181,-85.791,ELECTRONIC TRANSFORMERS,ELECTRONICS
"QUEST INTEGRATED, INC.","1012 CENTRAL AVENUE SOUTH, KENT, WA, 98032",9.193,-107.875,MAGNETIC IMAGING INSPECTION EQUIPMENT,MAGNETS
ELECTRONIC DATA DEVICES,"840 OXFORD DRIVE, ODESSA, TX, 79764",-7.794,-96.73,ELECTRONIC TOTALIZERS,ELECTRONICS
ELECTRONIC DATA DEVICES,"840 OXFORD DRIVE, ODESSA, TX, 79764",-7.794,-96.73,MAGNETIC PICKUPS,MAGNETS
"ORION INSTRUMENTS, LLC","6646 COMPLEX DRIVE, BATON ROUGE, LA, 70809",-9.541,-87.409,MAGNETIC LEVEL INDICATORS,MAGNETS
TYCO VALVES & CONTROLS,"320 LOCUST STREET, PROPHETSTOWN, IL, 61277",1.821,-87.236,ELECTRONIC LEVEL INDICATORS,ELECTRONICS
TYCO VALVES & CONTROLS,"320 LOCUST STREET, PROPHETSTOWN, IL, 61277",1.821,-87.236,MAGNETIC GAGES,MAGNETS
REED SWITCH DEVELOPMENTS CORP.,"2524 NORWOOD COURT, RACINE, WI, 53403",2.954,-85.833,STANDARD MAGNETICALLY-ACTIVATED PROXIMITY SWITCHES/SENSORS,MAGNETS
DYNAPAR,"1675 DELANY ROAD, GURNEE, IL, 60031",2.646,-85.872,MAGNETIC,MAGNETS
"BRUSH INDUSTRIES, INC.","301 REAGAN STREET, SUNBURY, PA, 17801",2.291,-77.951,MAGNETIC HEADS,MAGNETS
"GEOMETRICS, INC.","2190 FORTUNE DRIVE, SAN JOSE, CA, 95131",0.14,-109.997,ELECTRONIC GEOPHYSICAL EQUIPMENT,ELECTRONICS
"GEOMETRICS, INC.","2190 FORTUNE DRIVE, SAN JOSE, CA, 95131",0.14,-109.997,MAGNETOMETERS,MAGNETS
"DYNAMIC SCIENCES INTERNATIONAL, INC.","6130 VARIEL AVENUE, WOODLAND HILLS, CA, 91367",-3.38,-108.56,ELECTROMAGNETIC TEST SYSTEMS,MAGNETS
"MIDTRONICS, INC.","7000 MONROE STREET, WILLOWBROOK, IL, 60527",2.02,-85.841,ELECTRONIC BATTERY TESTERS,ELECTRONICS
"MIDTRONICS, INC.","7000 MONROE STREET, WILLOWBROOK, IL, 60527",2.02,-85.841,MAGNETIC PICK UP SENSORS,MAGNETS
"FOERSTER INSTRUMENTS, INC.","140 INDUSTRY DRIVE, PITTSBURGH, PA, 15275",1.439,-80.248,ELECTROMAGNETIC NONDESTRUCTIVE TESTING INSTRUMENTS,MAGNETS
"MAGUIRE PRODUCTS, INC.","11 CROZERVILLE ROAD, ASTON, PA, 19014",1.535,-76.827,MAGNETIC DRAWERS,MAGNETS
"INTERNATIONAL COIL, INC.","15 JONATHAN DRIVE, BROCKTON, MA, 02301",4.35,-74.351,TRANSFORMERS,TRANSFORMERS
"INTERNATIONAL COIL, INC.","15 JONATHAN DRIVE, BROCKTON, MA, 02301",4.35,-74.351,MAGNETICS,MAGNETS
"INTERNATIONAL COIL, INC.","15 JONATHAN DRIVE, BROCKTON, MA, 02301",4.35,-74.351,DC-DC CONVERTERS,CONVERTERS
"HIREL SYSTEMS, LLC","140 CROSBY ROAD, DOVER, NH, 03820",5.444,-74.537,MAGNETIC TRANSFORMERS,MAGNETS
SPANG & CO. (H Q),"110 DELTA DRIVE, PITTSBURGH, PA, 15238",1.517,-80.026,MAGNETIC ELECTRONIC COMPONENTS,ELECTRONICS
GB INTERNATIONAL,"1408 AIRPORT ROAD, ENDICOTT, NY, 13760",3.571,-77.726,CUSTOM TRANSFORMERS,TRANSFORMERS
GB INTERNATIONAL,"1408 AIRPORT ROAD, ENDICOTT, NY, 13760",3.571,-77.726,MAGNETIC COMPONENTS,MAGNETS
"QUALITY COILS, INC.","748 MIDDLE STREET, BRISTOL, CT, 06010",3.649,-75.484,ELECTROMAGNETIC COILS,MAGNETS
"QUALITY COILS, INC.","70 VOLUNTOWN ROAD, PAWCATUCK, CT, 06379",3.593,-74.714,ELECTROMAGNETIC COILS,MAGNETS
"SAG HARBOR INDUSTRIES, INC.","1668 SAG HARBOR TURNPIKE, SAG HARBOR, NY, 11963",3.113,-74.918,CONTRACT MANUFACTURING OF CUSTOM MAGNETIC COMPONENTS,MAGNETS
"SAG HARBOR INDUSTRIES, INC.","1668 SAG HARBOR TURNPIKE, SAG HARBOR, NY, 11963",3.113,-74.918,TRANSFORMERS,TRANSFORMERS
MAGNETIC SENSOR SYSTEMS,"6901 WOODLEY AVENUE, VAN NUYS, CA, 91406",-3.388,-108.48,ELECTROMAGNETS,MAGNETS
MAGNETIC SENSOR SYSTEMS,"6901 WOODLEY AVENUE, VAN NUYS, CA, 91406",-3.388,-108.48,DRIVING ELECTRONICS,ELECTRONICS
PAYNE MAGNETICS CORP.,"854 WEST FRONT STREET, COVINA, CA, 91722",-3.595,-108.098,CUSTOM MAGNETIC PRODUCTS FOR THE AVIONICS,MAGNETS
"BOURNS, INC.","1200 COLUMBIA AVENUE, RIVERSIDE, CA, 92507",-3.786,-107.715,MAGNETIC PRODUCTS,MAGNETS
"BI RA SYSTEMS, INC.","2410 MIDTOWN PLACE NE, ALBUQUERQUE, NM, 87107",-4.3,-99.632,ELECTRONIC EQUIPMENT ASSEMBLY,ELECTRONICS
"BI RA SYSTEMS, INC.","2410 MIDTOWN PLACE NE, ALBUQUERQUE, NM, 87107",-4.3,-99.632,LED LIGHTING,LED
"BI RA SYSTEMS, INC.","2410 MIDTOWN PLACE NE, ALBUQUERQUE, NM, 87107",-4.3,-99.632,BI-POLAR MAGNET SUPPLIES,MAGNETS
ORION ACCESS CONTROL SYSTEMS,"2321 WEST ARKANSAS LANE, PANTEGO, TX, 76013",-7.283,-92.447,ELECTROMAGNETIC LOCKS,MAGNETS
"MATRIX SYSTEMS, INC.","7550 PARAGON ROAD, DAYTON, OH, 45459",0.193,-82.944,MAGNETIC STRIP,MAGNETS
EINSTRUCTION CORP.,"8224 EAST EVANS ROAD, SCOTTSDALE, AZ, 85260",-5.076,-103.835,INCLUDING PEN-BASED ELECTROMAGNETIC-SENSING INPUT DEVICES,MAGNETS
"MAGNA-PLUS, INC.","2828 SOUTH 44TH STREET, KANSAS CITY, KS, 66106",-0.944,-90.526,NOVELTY MAGNETS,MAGNETS
EINSTRUCTION CORP.,"7125 RIVERWOOD DRIVE, COLUMBIA, MD, 21046",0.639,-77.668,INCLUDING PEN-BASED ELECTROMAGNETIC-SENSING INPUT DEVICES,MAGNETS
L-3 COMMUNICATIONS ELECTRON DEVICES,"960 INDUSTRIAL ROAD, SAN CARLOS, CA, 94070",0.303,-110.208,ELECTRONIC BROADCAST PRODUCTS,ELECTRONICS
L-3 COMMUNICATIONS ELECTRON DEVICES,"960 INDUSTRIAL ROAD, SAN CARLOS, CA, 94070",0.303,-110.208,MAGNETRONS,MAGNETS
"S I MANUFACTURING., INC.","1440 SOUTH ALLEC STREET, ANAHEIM, CA, 92805",-3.848,-108.161,CUSTOM MAGNETICS,MAGNETS
IMATION CORP.,"1 IMATION PLACE, OAKDALE, MN, 55128",5.054,-89.471,DISTRIBUTOR OF MAGNETIC,MAGNETS
GRAHAM MAGNETICS,"1715 4TH STREET, GRAHAM, TX, 76450",-6.842,-93.568,MAGNETIC COMPUTER TAPE,MAGNETS
"PHOENIX AMERICA, INC.","4717 CLUBVIEW DRIVE, FORT WAYNE, IN, 46804",1.503,-83.844,MEDICAL MAGNETIC SENSORS,MAGNETS
"PHOENIX AMERICA, INC.","4717 CLUBVIEW DRIVE, FORT WAYNE, IN, 46804",1.503,-83.844,NEO GRADE BONDED MAGNETS,MAGNETS
"ELECTRONIC DATA MAGNETICS, INC.","210 OLD THOMASVILLE ROAD, HIGH POINT, NC, 27260",-2.98,-79.338,MAGNETIC STRIPED PRINTED PRODUCTS,MAGNETS
"HARCO LABORATORIES, INC.","186 CEDAR STREET, BRANFORD, CT, 06405",3.319,-75.34,HIGH SECURITY MAGNETIC SWITCHES,MAGNETS
"MEASUREMENT SPECIALTIES, INC.","1000 LUCAS WAY, HAMPTON, VA, 23666",-1.335,-76.896,MAGNETS,MAGNETS
SYPRIS TEST & MEASUREMENT,"2055 WEST ARMY TRAIL ROAD, ADDISON, IL, 60101",2.186,-85.927,MAGNETIC SEMICONDUCTORS,MAGNETS
"BALLUFF, INC.","8125 HOLTON DRIVE, FLORENCE, KY, 41042",-0.503,-83.173,MAGNETIC SENSORS,MAGNETS
AMETEK DREXELBROOK,"205 KEITH VALLEY ROAD, HORSHAM, PA, 19044",1.902,-76.694,MAGNETORESTRICTIVE,MAGNETS
"ENEFLUX ARMTEK MAGNETICS, INC.","6 PHEASANT RUN, NEWTOWN, PA, 18940",1.953,-76.527,MAGNETIC EQUIPMENT,MAGNETS
"M R RESOURCES, INC.","160 AUTHORITY DRIVE, FITCHBURG, MA, 01420",4.684,-74.995,NUCLEAR MAGNETIC RESONANCE,MAGNETS
"DOTY SCIENTIFIC, INC.","700 CLEMSON ROAD, COLUMBIA, SC, 29229",-4.872,-79.637,NUCLEAR MAGNETIC RESONANCE PROBES,MAGNETS
PIERCE MAGNETICS CORP.,"166 UNIVERSITY PARKWAY, POMONA, CA, 91768",-3.652,-108.04,MAGNETIC TAPE HEADS,MAGNETS
"TVS MFG. SPECIALISTS, INC.","2413 POND BRANCH ROAD, LEESVILLE, SC, 29070",-5.189,-80.02,CUSTOM MAGNETIC COMPONENTS COILS,MAGNETS
"TVS MFG. SPECIALISTS, INC.","2413 POND BRANCH ROAD, LEESVILLE, SC, 29070",-5.189,-80.02,BATTERY CABLES,ELECTRONICS
AIREX CORP.,"15 LILAC LANE, SOMERSWORTH, NH, 03878",5.506,-74.533,ELECTROMAGNETIC SPACE,MAGNETS
