name,facility_a,Latitude,longitude,Manufacturing_Products,associated_product_type
"COUNTIS INDUSTRIES, INC.","2670 LOCKHEED WAY, CARSON CITY, NV, 89706",1.361,-108.136,MAGNET MICROWAVE COMPONENTS MATERIALS FOR SPACE,MAGNETS
TDK FERRITES CORP.,"5900 NORTH HARRISON STREET, SHAWNEE, OK, 74804",-4.604,-92.207,PERMANENT CERAMIC MAGNETS,MAGNETS
ARNOLD MAGNETIC TECHNOLOGIES,"1000 EAST EISENHOWER AVENUE, NORFOLK, NE, 68701",2.069,-92.468,FLEXIBLE BONDED MAGNETS,MAGNETS
"SIGNS & SIGNS, INC.","109 PRYOR STREET, MAYFIELD, KY, 42066",-3.043,-85.918,MAGNETICS,MAGNETS
"MCCORKLE SIGN CO., INC.","1214 AVONDALE DRIVE, DURHAM, NC, 27701",-2.745,-78.496,MAGNETIC COMMERCIAL SIGNS,MAGNETS
"DECO-SIGN PRODUCTS, INC.","107 INDUSTRY LANE, FOREST HILL, MD, 21050",1.104,-77.404,MAGNETIC DIE-CUT PRODUCTS,MAGNETS
"FERRIN SIGNS, INC.","945 26TH STREET, WEST PALM BEACH, FL, 33407",-11.932,-77.587,MAGNETIC SIGNS,MAGNETS
MRI DEVICES CORP.,"3545 SW 47TH AVENUE, GAINESVILLE, FL, 32608",-9.504,-80.077,MAGNETIC RESONANCE IMAGING RECEIVER COILS,MAGNETS
INVIVO CORP.,"NORTH 27 WEST 23676 PAUL ROAD, PEWAUKEE, WI, 53072",3.314,-86.149,MAGNETIC RESONANCE IMAGING EQUIPMENT,MAGNETS
GE HEALTHCARE,"3001 WEST RADIO DRIVE, FLORENCE, SC, 29501",-4.656,-78.872,MRI MAGNETS,MAGNETS
"ASPEN MOTION TECHNOLOGIES, INC.","1120 ROCK ROAD, RADFORD, VA, 24141",-1.904,-79.949,INCLUDING MAGNET BRUSHLESS DC,MAGNETS
KANAWHA ELECTRIC & MACHINE CO.,"2971 EAST DUPONT AVENUE, BELLE, WV, 25015",-0.934,-80.789,REMANUFACTURED ELECTRIC MOTORS,MOTORS
KANAWHA ELECTRIC & MACHINE CO.,"2971 EAST DUPONT AVENUE, BELLE, WV, 25015",-0.934,-80.789,INCLUDING MAGNETS,MAGNETS
"EVERSON TESLA, INC.","615 DANIELS ROAD, NAZARETH, PA, 18064",2.362,-76.92,INDUSTRIAL ELECTRIC MOTORS,MOTORS
"EVERSON TESLA, INC.","615 DANIELS ROAD, NAZARETH, PA, 18064",2.362,-76.92,RESISTIVE MAGNETS,MAGNETS
"ELWOOD CORP., GETTYS GROUP","2701 NORTH GREEN BAY ROAD, RACINE, WI, 53404",3.021,-85.846,STEP MOTORS,MOTORS
"MOTOR SPECIALTY, INC.","2801 LATHROP AVENUE, RACINE, WI, 53405",2.966,-85.845,PERMANENT-MAGNET MOTORS,MAGNETS
RAE CORP.,"4615 WEST PRIME PARKWAY, MCHENRY, IL, 60050",2.548,-86.13,CUSTOM DC PERMANENT MAGNET MOTORS,MAGNETS
RAE CORP.,"4615 WEST PRIME PARKWAY, MCHENRY, IL, 60050",2.548,-86.13,GEAR MOTORS,MOTORS
"MAGNETECH INDUSTRIAL SERVICES, INC.","1125 SOUTH WALNUT STREET, SOUTH BEND, IN, 46619",2.037,-84.666,ELECTRIC MOTORS,MOTORS
"MAGNETECH INDUSTRIAL SERVICES, INC.","1125 SOUTH WALNUT STREET, SOUTH BEND, IN, 46619",2.037,-84.666,LIFTING MAGNETS,MAGNETS
"MAGNETECH INDUSTRIAL SERVICES, INC.","1125 SOUTH WALNUT STREET, SOUTH BEND, IN, 46619",2.037,-84.666,EQUIPMENT,EQUIPMENT/IMPLANTS
"ASPEN MOTION TECHNOLOGIES, INC.","1120 ROCK ROAD, RADFORD, VA, 24141",-1.904,-79.949,SMALL ELECTRIC MOTORS,MOTORS
"MICROMO ELECTRONICS, INC.","14881 EVERGREEN AVENUE, CLEARWATER, FL, 33762",-11.219,-80.043,MOTORS,MOTORS
"MICROMO ELECTRONICS, INC.","14881 EVERGREEN AVENUE, CLEARWATER, FL, 33762",-11.219,-80.043,MAGNETIC ENCODERS,MAGNETS
MAMCO CORPORATION,"8630 INDUSTRIAL DRIVE, FRANKSVILLE, WI, 53126",3.034,-85.896,PERMANENT MAGNET,MAGNETS
MAMCO CORPORATION,"8630 INDUSTRIAL DRIVE, FRANKSVILLE, WI, 53126",3.034,-85.896,DC MOTORS,MOTORS
"ELWOOD CORP., GETTYS GROUP","2701 NORTH GREEN BAY ROAD, RACINE, WI, 53404",3.021,-85.846,MAGNETIC,MAGNETS
"CARLSBAD MAGNETICS, INC.","6086 CORTE DEL CEDRO, CARLSBAD, CA, 92011",-4.592,-107.88,ELECTROMAGNETIC MOTORS FOR THE MEDICAL,MAGNETS
DC POWER PRODUCTS,"1501 LAVELLE ROAD, ALAMOGORDO, NM, 88310",-6.559,-99.436,PERMANENT MAGNETIC MOTORS,MAGNETS
"MINNESOTA ELECTRIC TECHNOLOGY, INC.","352 MAIN STREET SOUTH, WINNEBAGO, MN, 56098",3.789,-90.251,PERMANENT-MAGNET DC,MAGNETS
"MINNESOTA ELECTRIC TECHNOLOGY, INC.","352 MAIN STREET SOUTH, WINNEBAGO, MN, 56098",3.789,-90.251,FRACTIONAL-HORSEPOWER MOTORS,MOTORS
MCMILLAN ELECTRIC CO.,"400 BEST ROAD, WOODVILLE, WI, 54028",5.021,-89.024,MAGNET,MAGNETS
MCMILLAN ELECTRIC CO.,"400 BEST ROAD, WOODVILLE, WI, 54028",5.021,-89.024,BRUSHLESS DC MOTORS,MOTORS
"HUGHES PRIMEAU CONTROLS, INC.","261 ALPHA PARK, CLEVELAND, OH, 44143",2.367,-81.294,MAGNETIC COUPLINGS,MAGNETS
DANAHER MOTION,"45 HAZELWOOD DRIVE, AMHERST, NY, 14228",4.131,-79.739,ELECTROMAGNETIC BRAKES,MAGNETS
"PERMACOR, INC.","9540 SOUTH TULLEY AVENUE, OAK LAWN, IL, 60453",1.991,-85.705,FERROUS MAGNETIC CORES,MAGNETS
"CONTROLLED AUTOMATION, INC.","15421 STONY CREEK WAY, NOBLESVILLE, IN, 46060",0.411,-84.303,ELECTROMAGNETS,MAGNETS
DOWLING MAGNETS,"21600 8TH STREET EAST, SONOMA, CA, 95476",1.011,-110.137,MAGNETS,MAGNETS
DOWLING MAGNETS,"21600 8TH STREET EAST, SONOMA, CA, 95476",1.011,-110.137,MAGNETIC TOYS,MAGNETS
"ALPHA MAGNETICS, INC.","1876 SABRE STREET, HAYWARD, CA, 94545",0.414,-110.092,ELECTROMAGNETS,MAGNETS
"KEYTRONICS, INC.","707 NORTH STREET, ENDICOTT, NY, 13760",3.597,-77.701,TRANSFORMERS,TRANSFORMERS
"KEYTRONICS, INC.","707 NORTH STREET, ENDICOTT, NY, 13760",3.597,-77.701,MAGNETIC DEVICES,MAGNETS
"KEYTRONICS, INC.","707 NORTH STREET, ENDICOTT, NY, 13760",3.597,-77.701,ELECTRONIC ASSEMBLIES,ELECTRONICS
"COILS UNLIMITED, INC.","315 GUS HIPP BOULEVARD, ROCKLEDGE, FL, 32955",-10.524,-78.452,ELECTROMAGNETIC DEVICES,MAGNETS
"COILS UNLIMITED, INC.","315 GUS HIPP BOULEVARD, ROCKLEDGE, FL, 32955",-10.524,-78.452,INCLUDING COIL TRANSFORMERS,TRANSFORMERS
"S S I TECHNOLOGIES, INC.","2643 WEST COURT STREET, JANESVILLE, WI, 53548",2.876,-86.691,MAGNETIC SENSORS FOR THE AUTOMOTIVE,MAGNETS
"S S I TECHNOLOGIES, INC.","2643 WEST COURT STREET, JANESVILLE, WI, 53548",2.876,-86.691,CONSTRUCTION,CONSTRUCTION
"WABASH TRANSFORMERS, INC.","101 INDUSTRIAL PARK DRIVE, CLARENCE, IA, 52216",1.992,-88.039,ELECTROMAGNETIC,MAGNETS
"WABASH TRANSFORMERS, INC.","101 INDUSTRIAL PARK DRIVE, CLARENCE, IA, 52216",1.992,-88.039,CLASS-2 TRANSFORMERS,TRANSFORMERS
"BADGER TRANSFORMER CO., INC.","7939 WEST TOWER AVENUE, MILWAUKEE, WI, 53223",3.422,-86.013,POWER TRANSFORMERS,TRANSFORMERS
"BADGER TRANSFORMER CO., INC.","7939 WEST TOWER AVENUE, MILWAUKEE, WI, 53223",3.422,-86.013,HIGH-FREQUENCY MAGNETS,MAGNETS
"PRECISION ELECTRONICS, INC.","1 DI TOMAS COURT, COPIAGUE, NY, 11726",2.641,-75.597,INDUSTRIAL TRANSFORMERS,TRANSFORMERS
"PRECISION ELECTRONICS, INC.","1 DI TOMAS COURT, COPIAGUE, NY, 11726",2.641,-75.597,MAGNETICS,MAGNETS
"KEYTRONICS, INC.","707 NORTH STREET, ENDICOTT, NY, 13760",3.597,-77.701,MAGNETIC AMPLIFIERS,MAGNETS
"CURRENT APPLICATIONS, INC.","800 STARBUCK AVENUE, WATERTOWN, NY, 13601",5.447,-77.978,PERMANENT MAGNET,MAGNETS
"CURRENT APPLICATIONS, INC.","800 STARBUCK AVENUE, WATERTOWN, NY, 13601",5.447,-77.978,GEAR MOTORS,MOTORS
"CURRENT APPLICATIONS, INC.","800 STARBUCK AVENUE, WATERTOWN, NY, 13601",5.447,-77.978,MOTOR PART SETS,MOTORS
"SENSATA TECHNOLOGIES, POWER CONTROLS DIV","807 WOODS ROAD, CAMBRIDGE, MD, 21613",0.165,-76.965,MAGNETIC CIRCUIT BREAKERS125,BREAKERS
"ELEKTRISOLA, INC.","126 HIGH STREET, BOSCAWEN, NH, 03303",5.459,-75.044,COPPER MAGNET WIRE,MAGNETS
SUB-TRONICS,"30570 FOREST BOULEVARD, STACY, MN, 55079",5.446,-89.507,ELECTROMAGNETIC TRANSFORMERS,MAGNETS
SUB-TRONICS,"30570 FOREST BOULEVARD, STACY, MN, 55079",5.446,-89.507,TELECOMMUNICATIONS INDUSTRIES,COMMUNICATIONS
"TENGAM ENGINEERING, INC.","545 WASHINGTON STREET, OTSEGO, MI, 49078",2.869,-84.361,MEDICAL MAGNETS,MAGNETS
"SUPERIOR ESSEX, INC.","800 WEST MITCHELL STREET, KENDALLVILLE, IN, 46755",1.896,-83.945,MAGNET WIRE,MAGNETS
"REA MAGNET WIRE CO., INC.","3600 EAST PONTIAC STREET, FORT WAYNE, IN, 46803",1.531,-83.771,MAGNET,MAGNETS
"PURITAN MAGNETICS, INC.","465 GLASPIE STREET, OXFORD, MI, 48371",3.442,-82.721,ELECTRO MAGNETS,MAGNETS
"CRYOMAGNETICS, INC.","1006 ALVIN WEINBERG DRIVE, OAK RIDGE, TN, 37830",-3.443,-82.506,SUPERCONDUCTING MAGNETS,MAGNETS
"PERMANENT MAGNET CO., INC.","4437 BRAGDON STREET, INDIANAPOLIS, IN, 46226",0.234,-84.299,PERMANENT MAGNETS,MAGNETS
"MAGNETIC INSTRUMENTATION, INC.","8431 CASTLEWOOD DRIVE, INDIANAPOLIS, IN, 46250",0.304,-84.318,MAGNETIZERS,MAGNETS
ARNOLD MAGNETIC TECHNOLOGIES,"300 NORTH WEST STREET, MARENGO, IL, 60152",2.473,-86.356,MAGNETIC MATERIALS,MAGNETS
ARNOLD MAGNETIC TECHNOLOGIES,"300 NORTH WEST STREET, MARENGO, IL, 60152",2.473,-86.356,PRECISION MAGNETIC ASSEMBLIES,MAGNETS
ADAMS MAGNETIC PRODUCTS,"888 LARCH AVENUE, ELMHURST, IL, 60126",2.187,-85.86,MAGNETS,MAGNETS
ADAMS MAGNETIC PRODUCTS,"888 LARCH AVENUE, ELMHURST, IL, 60126",2.187,-85.86,MAGNETIC DEVICES,MAGNETS
"MAGNET STREET, INC.","280 GERZEVSKE LANE, CAROL STREAM, IL, 60188",2.159,-85.975,PROMOTION REFRIGERATOR MAGNETS,MAGNETS
MAGNETSTREET,"285 WEST LOOP ROAD, WHEATON, IL, 60187",2.08,-85.967,MAGNETS,MAGNETS
"MAGNETICS INTERNATIONAL, INC.","1111 NORTH STATE ROAD 149, BURNS HARBOR, IN, 46304",1.908,-85.256,POWDERED MAGNETIC MATERIALS,MAGNETS
"AD-VANCE MAGNETICS, INC.","625 MONROE STREET, ROCHESTER, IN, 46975",1.447,-84.562,MAGNETIC SHIELDS,MAGNETS
"MASTER MAGNETICS, INC.","607 SOUTH GILBERT STREET, CASTLE ROCK, CO, 80104",-0.317,-97.862,MAGNETIC DEVICES,MAGNETS
"MIDWEST INDUSTRIES, INC.","614 WEST CARL HUBBELL BOULEVARD, MEEKER, OK, 74855",-4.493,-92.197,MAGNETS,MAGNETS
"MAGNETIC POETRY, INC. (H Q)","615 1ST AVENUE NE, MINNEAPOLIS, MN, 55413",5.038,-89.672,MAGNETIC VINYL WORD,MAGNETS
"HAMILTON FORM CO., LLC","7009 MIDWAY ROAD, RICHLAND HILLS, TX, 76118",-7.193,-92.51,MAGNETIC FORMS,MAGNETS
"IDEAMAN, INC.","7 CEDAR COURT, UNION, MO, 63084",-1.445,-87.82,SOUVENIR MAGNETS,MAGNETS
ARCHER PRODUCTS,"9400 WATSON ROAD, SAINT LOUIS, MO, 63126",-1.319,-87.351,CALENDAR MAGNETS,MAGNETS
ARCHER PRODUCTS,"9400 WATSON ROAD, SAINT LOUIS, MO, 63126",-1.319,-87.351,MAGNETIC CAR SIGNS,MAGNETS
"MAGNET, LLC","7 CHAMBER DRIVE, WASHINGTON, MO, 63090",-1.373,-87.823,FLEXIBLE MAGNETS,MAGNETS
QUADRANT TECHNOLOGY L.P.,"1247 REAMWOOD AVENUE, SUNNYVALE, CA, 94089",0.164,-110.061,MAGNETS,MAGNETS
"MAGNETIC COMPONENT ENGINEERING, INC.","2830 LOMITA BOULEVARD, TORRANCE, CA, 90505",-3.764,-108.473,PERMANENT MAGNETS,MAGNETS
"RAINBOW MAGNETICS, INC.","3221 WEST MACARTHUR BOULEVARD, SANTA ANA, CA, 92704",-3.946,-108.197,MAGNETS,MAGNETS
MAGNET SALES & MFG.,"11248 PLAYA COURT, CULVER CITY, CA, 90230",-3.591,-108.465,MAGNETS,MAGNETS
SC ENTERPRISES,"12035 SLAUSON AVENUE, SANTA FE SPRINGS, CA, 90670",-3.68,-108.237,PROMOTIONAL REFRIGERATOR MAGNETS,MAGNETS
MORRIS MAGNETS,"14804 NE 31ST CIRCLE, REDMOND, WA, 98052",9.425,-107.767,REFRIGERATOR MAGNETS,MAGNETS
"TRUCOLOR MFG., INC.","5774 LAMAR STREET, ARVADA, CO, 80002",0.127,-97.974,MAGNETS,MAGNETS
"MASTER MAGNETICS, INC.","607 SOUTH GILBERT STREET, CASTLE ROCK, CO, 80104",-0.317,-97.862,MAGNETS,MAGNETS
SE TOOLS,"415 HOWARD STREET, LAPEER, MI, 48446",3.666,-82.789,INCLUDING MAGNETIC PICK UP TOOLS,MAGNETS
"MAGNI-POWER CO., MAGNETICS DIV.","5511 EAST LINCOLN WAY, WOOSTER, OH, 44691",1.581,-81.47,MAGNETIC HANDTOOLS,MAGNETS
"ENGINEERED PRODUCTS COMPANY, THE","601 KELSO STREET, FLINT, MI, 48506",3.606,-83.017,MAGNETIC CATCHES,MAGNETS
"YOUNG & FRANKLIN, INC.","942 OLD LIVERPOOL ROAD, LIVERPOOL, NY, 13088",4.544,-78,ELECTROMAGNETIC VALVES,MAGNETS
RIVERSIDE ENGINEERING,"121 INTERPARK BOULEVARD, SAN ANTONIO, TX, 78216",-10.377,-93.669,MAGNETIC SEPARATORS,MAGNETS
"INDUSTRIAL MAGNETICS, INC.","1240 M-75 SOUTH, BOYNE CITY, MI, 49712",5.667,-84.181,MAGNETS FOR HOLDING,MAGNETS
PRECISION FITTINGS,"709 NORTH MAIN STREET, WELLINGTON, OH, 44090",1.921,-81.772,MAGNETIC,MAGNETS
LAMINATION SPECIALTIES CORP.,"235 NORTH ARTESIAN AVENUE, CHICAGO, IL, 60612",2.162,-85.677,MAGNETIC SHEET STEEL,MAGNETS
LAMINATION SPECIALTIES CORP.,"235 NORTH ARTESIAN AVENUE, CHICAGO, IL, 60612",2.162,-85.677,TRANSFORMER,TRANSFORMERS
LAMINATION SPECIALTIES CORP.,"235 NORTH ARTESIAN AVENUE, CHICAGO, IL, 60612",2.162,-85.677,MOTOR LAMINATIONS,MOTORS
"TEMPEL STEEL CO., LIBERTYVILLE DIV.","2200 TEMPEL DRIVE, LIBERTYVILLE, IL, 60048",2.567,-85.937,MAGNETICALLY LAMINATED STEEL PRODUCTS,MAGNETS
LISLE CORP.,"807 EAST MAIN STREET, CLARINDA, IA, 51632",0.743,-90.798,MAGNETIC PLUGS,MAGNETS
MILHOUS CO.,"144 SOUTH MAIN STREET, AMHERST, VA, 24521",-1.225,-78.918,MAGNETS,MAGNETS
"PENN MAG, INC.","719 TARRTOWN ROAD, ADRIAN, PA, 16210",1.907,-79.841,MAGNETITE COAL CLEANING PRODUCTS,MAGNETS
ELECTRON ENERGY CORP.,"924 LINKS AVENUE, LANDISVILLE, PA, 17538",1.576,-77.533,RARE EARTH PERMANENT MAGNETS,MAGNETS
ELECTRON ENERGY CORP.,"924 LINKS AVENUE, LANDISVILLE, PA, 17538",1.576,-77.533,MAGNET ASSEMBLIES,MAGNETS
PREMIUM SHAPES,"3 ESSEX STREET, BELLEVILLE, NJ, 07109",2.624,-76.127,MAGNETS,MAGNETS
AURA BADGE CO.,"264 CLAYTON AVENUE, CLAYTON, NJ, 08312",1.372,-76.538,MAGNETS,MAGNETS
"MAGNETIC INSTRUMENTATION, INC.","8431 CASTLEWOOD DRIVE, INDIANAPOLIS, IN, 46250",0.304,-84.318,DEMAGNETIZERS,MAGNETS
"THOMAS & SKINNER, INC.","525 WESTERN AVENUE, OSGOOD, IN, 47037",-0.411,-83.69,INDUSTRIAL MAGNETS,MAGNETS
SEMICON ASSOCS.,"695 LACO DRIVE, LEXINGTON, KY, 40510",-1.403,-83.013,RARE EARTH MAGNETS,MAGNETS
HITACHI METALS NORTH CAROLINA LTD.,"1 HITACHI METALS DRIVE, CHINA GROVE, NC, 28023",-3.404,-79.666,CERAMIC MAGNETS,MAGNETS
"MANOCHEMONICS HOLDINGS, LLC","1 MAGNOX DRIVE, PULASKI, VA, 24301",-1.986,-80.093,MAGNETIC IRON OXIDE PRODUCTS,MAGNETS
MAGNETS U. S. A.,"817 CONNECTICUT AVENUE NE, ROANOKE, VA, 24012",-1.64,-79.501,MAGNETS,MAGNETS
MAGNUM MAGNETICS CORP.,"801 MASONIC PARK ROAD, MARIETTA, OH, 45750",0.317,-80.996,FLEXIBLE MAGNETIC MATERIALS,MAGNETS
"MAGNA CARD, INC.","35 NEW PLANT COURT, OWINGS MILLS, MD, 21117",0.88,-77.653,MAGNETS,MAGNETS
"JANCY ENGINEERING, INC.","2735 HICKORY GROVE ROAD, DAVENPORT, IA, 52804",1.668,-87.702,PORTABLE MAGNETIC DRILLING MACHINES,MAGNETS
"AMERICAN CYLINDER CO., INC.","481 SOUTH GOVERNORS HIGHWAY, PEOTONE, IL, 60468",1.596,-85.697,MAGNETIC FIELD,MAGNETS
FLEXBAR MACHINE CORP.,"250 GIBBS ROAD, ISLANDIA, NY, 11749",2.791,-75.472,MAGNETIC SAFETY SHIELDS,MAGNETS
"AUTOTRONICS, INC.","2700 DAVIS BOULEVARD, JOPLIN, MO, 64804",-2.939,-90.343,ELECTROMAGNETIC BRAKES,MAGNETS
LINNIG CORP.,"5131 SOUTH ROYAL ATLANTA DRIVE, TUCKER, GA, 30084",-5.54,-82.18,ELECTROMAGNETIC FANS,MAGNETS
"SEPAC, INC.","2000 LAKE ROAD, ELMIRA, NY, 14903",3.511,-78.216,ELECTROMAGNETIC BRAKES,MAGNETS
"STOLAR HORIZON, INC.","848 CLAYTON ROAD, RATON, NM, 87740",-2.781,-97.799,ELECTROMAGNETIC WAVE DETECTION,MAGNETS
"DOUGLAS MFG. CO., INC.","300 INDUSTRIAL PARK DRIVE, PELL CITY, AL, 35125",-6,-83.788,MAGNETIC SEPARATORS,MAGNETS
"BUCCICONI ENGINEERING CO., INC.","899 GRANT STREET, GARY, IN, 46404",1.892,-85.418,MAGNETIC CONVEYORS,MAGNETS
"MAGNETIC PRODUCTS, INC.","683 TOWN CENTER DRIVE, HIGHLAND, MI, 48356",3.236,-82.942,MAGNETIC CONVEYOR SYSTEMS,MAGNETS
"MAGNETOOL, INC.","505 ELMWOOD DRIVE, TROY, MI, 48083",3.178,-82.603,MAGNETIC MATERIAL HANDLING EQUIPMENT,MAGNETS
ERIEZ MAGNETICS,"2200 ASBURY ROAD, ERIE, PA, 16506",3.03,-80.506,MAGNETIC EQUIPMENT,MAGNETS
"MAGNETIC TOOL ORGANIZERS, INC.","1540 SELENE DRIVE, CARROLLTON, TX, 75006",-7.051,-92.266,MAGNETIC HAND TOOL ORGANIZERS,MAGNETS
BURGESS-NORTON MFG. CO.,"737 PEYTON STREET, GENEVA, IL, 60134",2.129,-86.114,SOFT MAGNETIC COMPOSITES,MAGNETS
DYMET CORP.,"1901 PECK STREET, MUSKEGON, MI, 49441",3.592,-84.81,SOFT MAGNETIC PARTS,MAGNETS
TDK RF SOLUTIONS,"1101 CYPRESS CREEK ROAD, CEDAR PARK, TX, 78613",-9.475,-93.075,ELECTROMAGNETIC COMPATIBILITY AUTOMATION SYSTEMS,MAGNETS
"CHIP SYSTEMS INTERNATIONAL, INC.","10953 NORSCOTT STREET, SCOTTS, MI, 49088",2.635,-84.127,INCLUDING MAGNETIC SEPARATORS,MAGNETS
"BARNES INTERNATIONAL, INC.","814 CHESTNUT STREET, ROCKFORD, IL, 61102",2.466,-86.694,MAGNETIC COOLANT,MAGNETS
MID-STATES CORPORATION,"3245 HOLEMAN AVENUE, SOUTH CHICAGO HEIGHTS, IL, 60411",1.76,-85.597,MAGNETIC,MAGNETS
"STAR ENGINEERING & MACHINE CO., INC.","1717 LANCASTER STREET, BLUFFTON, IN, 46714",1.205,-83.808,MAGNET WIRE SHEAVES,MAGNETS
"HEAT TREATING, INC.","1807 WEST PLEASANT STREET, SPRINGFIELD, OH, 45506",0.509,-82.742,MAGNETIC PARTICLE INSPECTION,MAGNETS
"ESSEX GROUP, INC.","120 SOUTHEAST PARKWAY, FRANKLIN, TN, 37064",-3.767,-84.505,MAGNET WIRE,MAGNETS
RIMTEC CORP.,"211 SOUTH LOMBARD ROAD, ADDISON, IL, 60101",2.178,-85.915,MAGNETIC CLUTCHES,MAGNETS
"PRESSURE PRODUCTS INDUSTRIES, INC.","900 LOUIS DRIVE, WARMINSTER, PA, 18974",1.91,-76.636,MAGNETIC MIXERS,MAGNETS
"TRI-COMP, INC.","230 WEST PARKWAY, POMPTON PLAINS, NJ, 07444",2.777,-76.278,MAGNETIC GASKETS,MAGNETS
"BOEHM, INC.","2050 HARDY PARKWAY STREET, GROVE CITY, OH, 43123",0.584,-82.167,MAGNETS,MAGNETS
"INGERSOLL-RAND CO., VONDUPRIN DIV.","2720 TOBEY DRIVE, INDIANAPOLIS, IN, 46219",0.205,-84.288,INCLUDING ELECTROMAGNETIC LOCKS,MAGNETS
TOPS PEN CO.,"5895 POWER INN ROAD, SACRAMENTO, CA, 95824",1.046,-109.397,MAGNETS,MAGNETS
KILLION CORP.,"1755 MIDWEST BOULEVARD, INDIANAPOLIS, IN, 46214",0.165,-84.488,MAGNETS,MAGNETS
AKO SIGNS,"1625 OCONEE STREET, ATHENS, GA, 30605",-5.357,-81.549,MAGNETICS,MAGNETS
SEAWAY BOLT & SPECIALS CORP.,"11561 STATION ROAD, COLUMBIA STATION, OH, 44028",2.102,-81.603,MAGNETIC,MAGNETS
"MONOGRAM INTERNATIONAL, INC. (H Q)","3845 GATEWAY CENTRE BOULEVARD, PINELLAS PARK, FL, 33782",-11.271,-80.041,MAGNETS,MAGNETS
ISOMAG CORP.,"11871 DUNLAY LANE, BATON ROUGE, LA, 70809",-9.54,-87.408,MECHANICAL MAGNETIC SEALS,MAGNETS
"ROBCO SALES, INC.","1200 WEST SIERRA LANE, THIENSVILLE, WI, 53092",3.464,-85.957,MAGNETIC COMPONENTS,MAGNETS
"WAVEZERO, INC.","425 LAKESIDE DRIVE, SUNNYVALE, CA, 94085",0.144,-110.071,ELECTROMAGNETIC SHIELDING,MAGNETS
PINNACLE DESIGNS,"615 8TH STREET, SAN FERNANDO, CA, 91340",-3.315,-108.41,MAGNETS,MAGNETS
"U. S. SHELL, INC.","36451 HIGHWAY 100, LOS FRESNOS, TX, 78566",-13.894,-92.909,MAGNETS,MAGNETS
SABONA OF LONDON UNLIMITED,"609 DAVIS BOULEVARD, SIKESTON, MO, 63801",-2.961,-86.659,MAGNETIC BRACELETS,MAGNETS
"UNIVERSAL DESIGNS, INC.","855 WEST NEW YORK AVENUE, DELAND, FL, 32720",-9.915,-79.098,MAGNETS,MAGNETS
"WBT INDUSTRIES, INC.","831 MONTEREY PASS ROAD, MONTEREY PARK, CA, 91754",-3.582,-108.284,MAGNETS,MAGNETS
DYNETICS ENGINEERING CORP.,"515 BOND STREET, LINCOLNSHIRE, IL, 60069",2.448,-85.885,MAGNETIC STRIP ANALYZERS,MAGNETS
"PERMADUR INDUSTRIES, INC.","186 US HIGHWAY 206 SOUTH, HILLSBOROUGH, NJ, 08844",2.294,-76.393,LIFTING MAGNETS,MAGNETS
"SECURITY ENGINEERED MACHINERY CO., INC.","5 WALKUP DRIVE, WESTBOROUGH, MA, 01581",4.465,-74.742,MAGNETIC MEDIA DEGAUSSER/ERASERS,MAGNETS
"T.D. WRIGHT CO., INC.","292 WALNUT STREET, SAINT PAUL, MN, 55102",4.993,-89.571,MAGNETIC PRINTING CYLINDERS,MAGNETS
"PDC MACHINES, INC.","1875 STOUT DRIVE, WARMINSTER, PA, 18974",1.931,-76.636,MAGNETIC DRIVES,MAGNETS
"TRANSPOWER TECHNOLOGIES, INC.","980 SANDHILL ROAD, RENO, NV, 89521",1.586,-108.087,MAGNETIC COMPONENTS,MAGNETS
APPLE DIE SOUTH,"6545 44TH STREET NORTH, PINELLAS PARK, FL, 33781",-11.293,-80.042,MAGNETIC FLEXIBLE DIES,MAGNETS
"KEB AMERICA, INC.","5100 VALLEY INDUSTRIAL BOULEVARD SOUTH, SHAKOPEE, MN, 55379",4.834,-89.802,GEAR MOTORS,MOTORS
"KEB AMERICA, INC.","5100 VALLEY INDUSTRIAL BOULEVARD SOUTH, SHAKOPEE, MN, 55379",4.834,-89.802,ELECTROMAGNETIC CLUTCHES,MAGNETS
"THREE BY THREE, SEATTLE","1518 NW 52ND STREET, SEATTLE, WA, 98107",9.483,-107.899,MAGNETS,MAGNETS
"THREE BY THREE, SEATTLE","1518 NW 52ND STREET, SEATTLE, WA, 98107",9.483,-107.899,MAGNETIC PRODUCTS,MAGNETS
"ELANTAS PDG, INC.","5200 NORTH 2ND STREET, SAINT LOUIS, MO, 63147",-1.189,-87.232,MAGNET WIRE ENAMEL,MAGNETS
COLOR VISION PRINTING,"WEST 501 WI 29, EDGAR, WI, 54426",5.101,-87.499,INCLUDING MAGNETIC MEMO BOARDS,MAGNETS
COLOR VISION PRINTING,"WEST 501 WI 29, EDGAR, WI, 54426",5.101,-87.499,PROMOTIONAL MAGNETS,MAGNETS
"PHOTO CARD SPECIALISTS, INC.","2425 SEYMOUR ROAD, EAU CLAIRE, WI, 54703",4.924,-88.476,MAGNET,MAGNETS
"INERTIA DYNAMICS, INC.","31 INDUSTRIAL PARK ROAD, NEW HARTFORD, CT, 06057",3.86,-75.579,ELECTROMAGNETIC BRAKES,MAGNETS
CUSTOM PRODUCTS CORP.,"457 STATE STREET, NORTH HAVEN, CT, 06473",3.376,-75.403,ELECTROMAGNETIC CLUTCHES,MAGNETS
FED-CAL,"1570 NW 165TH STREET, MIAMI, FL, 33169",-12.748,-77.558,MAGNETIC SIGNS,MAGNETS
